spt_objectid,t,population
27,10,4108.37243945
28,1,4326.5224567
28,2,4485.69292315
28,3,4650.71918664
28,4,4821.81667884
28,5,4999.20875703
28,6,5183.12699569
28,7,5373.8114888
28,8,5571.51116328
28,9,5776.48410393
28,10,5988.99789034
29,1,2657.87974487
29,2,2786.71587305
29,3,2921.79710994
29,4,3063.42617638
29,5,3211.9204671
29,6,3367.61276199
29,7,3530.85197186
29,8,3702.00392037
29,9,3881.45216385
29,10,4069.59885088
30,1,4999.40981939
30,2,5194.11856655
30,3,5396.41050805
30,4,5606.58098159
30,5,5824.93682722
30,6,6051.79683527
30,7,6287.49221181
30,8,6532.36706216
30,9,6786.77889327
30,10,7051.09913572
31,1,3673.9162785
31,2,3819.37204907
31,3,3970.58662839
31,4,4127.7880162
31,5,4291.21323908
31,6,4461.10870785
31,7,4637.73058912
31,8,4821.34519147
31,9,5012.22936706
31,10,5210.67092904
32,1,1305.92985978
32,2,1365.45460262
32,3,1427.69250419
32,4,1492.76723124
32,5,1560.80808725
32,6,1631.95026944
32,7,1706.33513734
32,8,1784.11049372
32,9,1865.43087822
32,10,1950.45787448
33,1,5174.22756376
33,2,5405.33633789
33,3,5646.76767028
33,4,5898.98262179
33,5,6162.46284672
33,6,6437.71151265
33,7,6725.25426132
33,8,7025.64021244
33,9,7339.44301237
33,10,7667.26192958
34,1,3303.0047927
34,2,3402.94468516
34,3,3505.90848546
34,4,3611.98768879
34,5,3721.27655872
34,6,3833.87221098
34,7,3949.87469978
34,8,4069.38710666
34,9,4192.51563215
34,10,4319.3696901
35,1,2498.43275513
35,2,2596.57497167
35,3,2698.57236288
35,4,2804.57636585
35,5,2914.74436635
35,6,3029.23993249
35,7,3148.23305761
35,8,3271.9004126
35,9,3400.42560831
35,10,3533.99946804
36,1,4489.66729605
36,2,4657.3734818
36,3,4831.34413279
36,4,5011.81325068
36,5,5199.02357797
36,6,5393.22692454
36,7,5594.68450631
36,8,5803.6672966
36,9,6020.45639064
36,10,6245.34338363
37,1,4292.30398421
37,2,4480.51398173
37,3,4676.97665737
37,4,4882.05387659
37,5,5096.12337199
37,6,5319.57943911
37,7,5552.83366266
37,8,5796.31567458
37,9,6050.47394547
37,10,6315.77661054
38,1,4554.13923695
38,2,4742.78165779
38,3,4939.23806084
38,4,5143.83211834
38,5,5356.90090977
38,6,5578.79547717
38,7,5809.8814035
38,8,6050.53941498
38,9,6301.16600834
38,10,6562.17410408
39,1,1486.01865844
39,2,1536.70943162
39,3,1589.12935838
39,4,1643.33742327
39,5,1699.39462289
39,6,1757.36403456
39,7,1817.31088729
39,8,1879.30263515
39,9,1943.40903319
39,10,2009.70221594
40,1,2601.87499655
40,2,2717.6850653
40,3,2838.64986749
40,4,2964.9988415
40,5,3096.97163809
40,6,3234.81857494
40,7,3378.80111141
40,8,3529.19234448
40,9,3686.27752674
40,10,3850.35460745
41,1,4102.93034142
41,2,4268.26505744
41,3,4440.26222348
41,4,4619.19031455
41,5,4805.32862433
41,6,4998.96770114
41,7,5200.40980142
41,8,5409.96936158
41,9,5627.97348878
41,10,5854.76247156
42,1,3471.31762373
42,2,3627.34679253
42,3,3790.38917769
42,4,3960.76001003
42,5,4138.78868939
42,6,4324.81942154
42,7,4519.21188364
42,8,4722.34191963
42,9,4934.60226697
42,10,5156.4033159
43,1,3660.44525497
43,2,3818.42674969
43,3,3983.22658232
43,4,4155.13902615
43,5,4334.47105501
43,6,4521.54289146
43,7,4716.68857857
43,8,4920.25657641
43,9,5132.61038426
43,10,5354.12918972
44,1,4843.38760422
44,2,5060.05252043
44,3,5286.40976147
44,4,5522.89290542
44,5,5769.95492613
44,6,6028.06906085
44,7,6297.72971672
44,8,6579.45341775
44,9,6873.77979424
44,10,7181.27261638
45,1,2838.29509682
45,2,2937.97193897
45,3,3041.14928847
45,4,3147.9500781
45,5,3258.50155789
45,6,3372.93544666
45,7,3491.38808904
45,8,3614.00061788
45,9,3740.91912241
45,10,3872.2948223
46,1,3413.22715512
46,2,3579.14581028
46,3,3753.12985308
46,4,3935.571346
46,5,4126.88140986
46,6,4327.49115026
46,7,4537.85262907
46,8,4758.43988309
46,9,4989.74999232
46,10,5232.30420001
47,1,1131.49439724
47,2,1186.54269785
47,3,1244.26915172
47,4,1304.8040536
47,5,1368.2840372
47,6,1434.85238362
47,7,1504.6593447
47,8,1577.86248219
47,9,1654.62702337
47,10,1735.12623398
48,1,4031.15952179
48,2,4159.26467624
48,3,4291.44085059
48,4,4427.8174167
48,5,4568.52785771
48,6,4713.70989868
48,7,4863.50564141
48,8,5018.06170351
48,9,5177.52936192
48,10,5342.06470095
49,1,1419.60988751
49,2,1469.94327696
49,3,1522.06127648
49,4,1576.02716083
49,5,1631.90644821
49,6,1689.76697985
49,7,1749.67900232
49,8,1811.71525285
49,9,1875.95104763
49,10,1942.46437323
50,1,2205.84523448
50,2,2297.33389918
50,3,2392.61710741
50,4,2491.85224
50,5,2595.2032052
50,6,2702.84070949
50,7,2814.94253946
50,8,2931.69385552
50,9,3053.2874977
50,10,3179.9243042
51,1,2839.56758158
51,2,2932.05238195
51,3,3027.54941502
51,4,3126.15678928
51,5,3227.97580865
51,6,3333.11107649
51,7,3441.67060314
51,8,3553.76591678
51,9,3669.51217812
51,10,3789.02829862
52,1,4605.685953
52,2,4802.43221592
52,3,5007.58311005
52,4,5221.49766549
52,5,5444.5502494
52,6,5677.13122121
52,7,5919.64761578
52,8,6172.52385572
52,9,6436.2024942
52,10,6711.14498941
53,1,3028.58633012
53,2,3132.62812807
53,3,3240.24410042
53,4,3351.55703168
53,5,3466.69392445
53,6,3585.78614422
53,7,3708.96956937
53,8,3836.38474612
53,9,3968.1770489
53,10,4104.49684624
54,1,1115.36731091
54,2,1156.1749426
54,3,1198.4755917
54,4,1242.32388281
54,5,1287.77643907
54,6,1334.89195529
54,7,1383.73127372
54,8,1434.35746263
54,9,1486.83589775
54,10,1541.23434668
55,1,2406.36536996
55,2,2502.41758588
55,3,2602.30381151
55,4,2706.17708476
55,5,2814.19655218
55,6,2926.5277128
55,7,3043.34267169
55,8,3164.82040366
55,9,3291.14702745
55,10,3422.51609088
56,1,3322.00646474
56,2,3464.90642128
56,3,3613.953385
56,4,3769.41177653
56,5,3931.55739086
56,6,4100.67788664
56,7,4277.07329647
56,8,4461.05655919
56,9,4652.95407511
56,10,4853.10628498
57,1,4459.36888063
57,2,4611.77430741
57,3,4769.38841163
57,4,4932.38920744
57,5,5100.96079286
57,6,5275.29355775
57,7,5455.5843988
57,8,5642.03694194
57,9,5834.86177233
57,10,6034.27667215
58,1,1610.72995047
58,2,1683.61516765
58,3,1759.79842674
58,4,1839.42896349
58,5,1922.66276656
58,6,2009.66288303
58,7,2100.59973787
58,8,2195.65146771
58,9,2295.00426985
58,10,2398.85276697
59,1,4828.10477467
59,2,4976.64297932
59,3,5129.75100988
59,4,5287.5694585
59,5,5450.24324274
59,6,5617.92173854
59,7,5790.7589175
59,8,5968.91348815
59,9,6152.54904178
59,10,6341.8342026
60,1,1100.23666843
60,2,1137.70744978
60,3,1176.45437424
60,4,1216.52090345
60,5,1257.95197922
60,6,1300.79407394
60,7,1345.09524269
60,8,1390.9051772
60,9,1438.27526153
60,10,1487.25862973
61,1,2804.9560461
61,2,2913.99200762
61,3,3027.2664815
61,4,3144.94422979
61,5,3267.19641926
61,6,3394.20087038
61,7,3526.14231594
61,8,3663.21266982
61,9,3805.61130606
61,10,3953.54534891
62,1,4786.93393195
62,2,4940.65038139
62,3,5099.30292294
62,4,5263.05006277
62,5,5432.05539695
62,6,5606.48777488
62,7,5786.52146801
62,8,5972.33634394
62,9,6164.11804611
62,10,6362.05817928
63,1,3035.48679966
63,2,3154.46083906
63,3,3278.09799282
63,4,3406.58102882
63,5,3540.09987845
63,6,3678.85191732
63,7,3823.04225708
63,8,3972.88404858
63,9,4128.598797
63,10,4290.41668928
64,1,1314.04556225
64,2,1370.4093172
64,3,1429.19069979
64,4,1490.49341006
64,5,1554.42559608
64,6,1621.10004474
64,7,1690.63438076
64,8,1763.15127416
64,9,1838.77865665
64,10,1917.64994741
65,1,3929.77035145
65,2,4108.29875369
65,3,4294.93765286
65,4,4490.05550666
65,5,4694.03751168
65,6,4907.28636393
65,7,5130.22305374
65,8,5363.28769697
65,9,5606.94040378
65,10,5861.66218704
66,1,3585.36524131
66,2,3733.61716922
66,3,3887.9991934
66,4,4048.76478834
66,5,4216.17790949
66,6,4390.51342662
66,7,4572.05757518
66,8,4761.10842617
66,9,4957.97637564
66,10,5162.98465421
67,1,4623.96433414
67,2,4774.68650365
67,3,4930.32159437
67,4,5091.02974725
67,5,5256.9763232
67,6,5428.33207322
67,7,5605.27331407
67,8,5787.98210973
67,9,5976.64645869
67,10,6171.46048743
68,1,5189.33773955
68,2,5398.8023607
68,3,5616.72190032
68,4,5843.43763631
68,5,6079.30462206
68,6,6324.69224248
68,7,6579.9847925
68,8,6845.58207887
68,9,7121.90004633
68,10,7409.37142898
69,1,4311.58786091
69,2,4443.06641547
69,3,4578.55430739
69,4,4718.17379834
69,5,4862.05087825
69,6,5010.315379
69,7,5163.10109164
69,8,5320.54588704
69,9,5482.79184033
69,10,5649.98535914
70,1,2478.99711197
70,2,2577.77964814
70,3,2680.49844927
70,4,2787.31036677
70,5,2898.37850226
70,6,3013.87245659
70,7,3133.96858882
70,8,3258.85028553
70,9,3388.70824084
70,10,3523.74074764
71,1,1076.32127884
71,2,1117.13355379
71,3,1159.49336089
71,4,1203.45937994
71,5,1249.09251576
71,6,1296.45598259
71,7,1345.61539164
71,8,1396.638842
71,9,1449.59701494
71,10,1504.56327186
72,1,1950.56923138
72,2,2046.64891146
72,3,2147.46121256
72,4,2253.23925056
72,5,2364.22762404
72,6,2480.68297979
72,7,2602.87460635
72,8,2731.08505664
72,9,2865.61080138
72,10,3006.76291462
73,1,3271.78715679
73,2,3388.60120269
73,3,3509.58591151
73,4,3634.89019022
73,5,3764.66826233
73,6,3899.07985763
73,7,4038.29040882
73,8,4182.47125513
73,9,4331.79985317
73,10,4486.45999537
74,1,1680.50607916
74,2,1746.5062969
74,3,1815.09860805
74,4,1886.38481453
74,5,1960.47071642
74,6,2037.46626898
74,7,2117.48574589
74,8,2200.64790878
74,9,2287.07618354
74,10,2376.89884349
75,1,1314.9015536
75,2,1377.66222762
75,3,1443.41848879
75,4,1512.31331746
75,5,1584.49651845
75,6,1660.12504684
75,7,1739.36334922
75,8,1822.38372124
75,9,1909.36668233
75,10,2000.50136812
76,1,2698.40309919
76,2,2781.27551021
76,3,2866.6930697
76,4,2954.73394336
76,5,3045.4786975
76,6,3139.01037275
76,7,3235.41456005
76,8,3334.779479
76,9,3437.19605854
76,10,3542.7580202
77,1,1151.63308665
77,2,1199.14897492
77,3,1248.62534841
77,4,1300.14309589
77,5,1353.78644358
77,6,1409.64309284
77,7,1467.80436354
77,8,1528.36534338
77,9,1591.42504333
77,10,1657.08655951
78,1,5084.8374254
78,2,5316.79449779
78,3,5559.33284917
78,4,5812.93516999
78,5,6078.10616981
78,6,6355.3735817
78,7,6645.28921255
78,8,6948.43004124
78,9,7265.39936695
78,10,7596.82800977
79,1,3344.72114077
79,2,3478.59437486
79,3,3617.82591597
79,4,3762.63023159
79,5,3913.2303733
79,6,4069.85832036
79,7,4232.75533709
79,8,4402.17234443
79,9,4578.37030652
79,10,4761.62063262
80,1,4943.69736034
80,2,5171.42268105
80,3,5409.63788776
80,4,5658.82618411
80,5,5919.49303196
80,6,6192.16717661
80,7,6477.40171939
80,8,6775.77523953
80,9,7087.89296783
80,10,7414.38801427
81,1,3072.71345225
81,2,3216.88857228
81,3,3367.8285487
81,4,3525.85079607
81,5,3691.28762239
81,6,3864.48692792
81,7,4045.81293679
81,8,4235.64696292
81,9,4434.38821191
81,10,4642.45462052
82,1,4785.57891572
82,2,4943.18272364
82,3,5105.97690888
82,4,5274.1324065
82,5,5447.82578098
82,6,5627.23941161
82,7,5812.56168399
82,8,6003.98718784
82,9,6201.7169213
82,10,6405.95850202
83,1,2092.2747168
83,2,2195.39292405
83,3,2303.59333422
83,4,2417.12642476
83,5,2536.25501797
83,6,2661.25488939
83,7,2792.41540624
83,8,2930.04019723
83,9,3074.4478555
83,10,3225.97267611
84,1,3683.53396973
84,2,3841.56922597
84,3,4006.38469449
84,4,4178.27126782
84,5,4357.53231873
84,6,4544.48423562
84,7,4739.45698098
84,8,4942.79467369
84,9,5154.85619647
84,10,5376.01582921
85,1,5023.13821591
85,2,5229.41296086
85,3,5444.15836072
85,4,5667.72226221
85,5,5900.46679637
85,6,6142.76896509
85,7,6395.02125183
85,8,6657.63225733
85,9,6931.0273615
85,10,7215.64941245
86,1,2339.99886573
86,2,2432.51652227
86,3,2528.69209373
86,4,2628.67020485
86,5,2732.60119846
86,6,2840.64136158
86,7,2952.95316039
86,8,3069.70548462
86,9,3191.07390144
86,10,3317.24091952
87,1,2074.85411401
87,2,2150.35943778
87,3,2228.61245059
87,4,2309.71314267
87,5,2393.76514299
87,6,2480.8758516
87,7,2571.15657695
87,8,2664.72267804
87,9,2761.69371191
87,10,2862.19358631
88,1,4164.30630919
88,2,4299.88768577
88,3,4439.88331729
88,4,4584.43692295
88,5,4733.69690114
88,6,4887.81648182
88,7,5046.95388381
88,8,5211.27247719
88,9,5380.94095106
88,10,5556.1334867
89,1,4442.96849521
89,2,4663.35200789
89,3,4894.66715169
89,4,5137.45616572
89,5,5392.28818564
89,6,5659.76057781
89,7,5940.50033962
89,8,6235.16556926
89,9,6544.44700842
89,10,6869.06966146
90,1,2175.25986496
90,2,2255.36486183
90,3,2338.41976395
90,4,2424.53320303
90,5,2513.81781116
90,6,2606.39036818
90,7,2702.3719544
90,8,2801.88810896
90,9,2905.06899406
90,10,3012.04956517
91,1,3048.11238454
91,2,3185.11796668
91,3,3328.28163197
91,4,3477.88017197
91,5,3634.20281938
91,6,3797.55180723
91,7,3968.24295322
91,8,4146.60627034
91,9,4332.98660488
91,10,4527.74430319
92,1,3493.25687409
92,2,3637.21120368
92,3,3787.09777639
92,4,3943.1610552
92,5,4105.65557727
92,6,4274.84636898
92,7,4451.00937827
92,8,4634.43192467
92,9,4825.41316791
92,10,5024.26459587
93,1,2948.11089109
93,2,3048.52957775
93,3,3152.36873027
93,4,3259.7448567
93,5,3370.77843361
93,6,3485.59404124
93,7,3604.3205033
93,8,3727.09103149
93,9,3854.04337496
93,10,3985.31997491
94,1,1103.45740913
94,2,1146.53319563
94,3,1191.29053627
94,4,1237.79507408
94,5,1286.11501457
94,6,1336.32122581
94,7,1388.48734237
94,8,1442.68987327
94,9,1499.00831425
94,10,1557.52526431
95,1,2929.87595465
95,2,3019.4066513
95,3,3111.67321314
95,4,3206.75924231
95,5,3304.75089568
95,6,3405.73696284
95,7,3509.80894663
95,8,3617.06114603
95,9,3727.59074156
95,10,3841.49788339
96,1,4480.74228453
96,2,4643.16637844
96,3,4811.47824375
96,4,4985.89130848
96,5,5166.62673728
96,6,5353.91371186
96,7,5547.98972166
96,8,5749.10086494
96,9,5957.50216086
96,10,6173.45787288
97,1,1163.66958362
97,2,1209.04187486
97,3,1256.18326348
97,4,1305.16272783
97,5,1356.05193576
97,6,1408.92534952
97,7,1463.86033467
97,8,1520.93727332
97,9,1580.23968175
97,10,1641.85433258
98,1,2362.41687238
98,2,2448.88700258
98,3,2538.52214719
98,4,2631.43815332
98,5,2727.75510838
98,6,2827.59749529
98,7,2931.09435329
98,8,3038.37944482
98,9,3149.59142831
98,10,3264.87403744
99,1,4634.5736535
99,2,4811.66508731
99,3,4995.52335195
99,4,5186.40701443
99,5,5384.58452183
99,6,5590.33457883
99,7,5803.94653972
99,8,6025.72081527
99,9,6255.9692952
99,10,6495.01578689
100,1,4314.04275513
100,2,4465.20270948
100,3,4621.65916484
100,4,4783.59770556
100,5,4951.2104187
100,6,5124.69612186
100,7,5304.26059904
100,8,5490.11684468
100,9,5682.48531637
100,10,5881.59419631
101,1,4508.26959963
101,2,4672.29765126
101,3,4842.29366933
101,4,5018.47479125
101,5,5201.06605469
101,6,5390.30068507
101,7,5586.42039342
101,8,5789.67568516
101,9,6000.32618003
101,10,6218.64094375
102,1,2131.43639638
102,2,2231.34632211
102,3,2335.93947145
102,4,2445.43536797
102,5,2560.06382528
102,6,2680.0654294
102,7,2805.69204367
102,8,2937.20733738
102,9,3074.88733919
102,10,3219.02101646
103,1,4525.26970211
103,2,4730.43794798
103,3,4944.90818288
103,4,5169.10214361
103,5,5403.46068782
103,6,5648.44466092
103,7,5904.53580228
103,8,6172.23769255
103,9,6452.07674389
103,10,6744.60323511
104,1,4802.14139043
104,2,4999.03792189
104,3,5204.00756927
104,4,5417.381345
104,5,5639.50383364
104,6,5870.73374832
104,7,6111.44451008
104,8,6362.02485089
104,9,6622.87944145
104,10,6894.42954468
105,1,4875.7426069
105,2,5054.83010179
105,3,5240.49553432
105,4,5432.98051413
105,5,5632.53552523
105,6,5839.42025202
105,7,6053.90391715
105,8,6276.26563191
105,9,6506.79475946
105,10,6745.79129131
106,1,4553.97381204
106,2,4721.92110217
106,3,4896.06216798
106,4,5076.62543149
106,5,5263.84773873
106,6,5457.97467048
106,7,5659.26086432
106,8,5867.97034873
106,9,6084.37688932
106,10,6308.76434803
107,1,1752.32630279
107,2,1832.12856293
107,3,1915.56507811
107,4,2002.80135507
107,5,2094.0104378
107,6,2189.37325089
107,7,2289.07895833
107,8,2393.32533882
107,9,2502.31917801
107,10,2616.27667877
108,1,2401.68974009
108,2,2489.47501408
108,3,2580.46896829
108,4,2674.78888465
108,5,2772.55633197
108,6,2873.89732253
108,7,2978.94247456
108,8,3087.82718061
108,9,3200.69178197
108,10,3317.68174964
109,1,1256.56450795
109,2,1307.08142603
109,3,1359.62924582
109,4,1414.28961447
109,5,1471.14746151
109,6,1530.29113088
109,7,1591.81251812
109,8,1655.80721324
109,9,1722.37464914
109,10,1791.61825622
110,1,1661.78898338
110,2,1725.9641408
110,3,1792.61762181
110,4,1861.84513459
110,5,1933.74608339
110,6,2008.42371127
110,7,2085.98524834
110,8,2166.54206575
110,9,2250.20983556
110,10,2337.10869689
111,1,4529.84227399
111,2,4740.00254729
111,3,4959.91312486
111,4,5190.02636828
111,5,5430.81562627
111,6,5682.77620839
111,7,5946.42640387
111,8,6222.3085478
111,9,6510.99013666
111,10,6813.06499574
112,1,2172.36010737
112,2,2267.73110816
112,3,2367.2890887
112,4,2471.21786588
112,5,2579.7093265
112,6,2692.96378159
112,7,2811.19033624
112,8,2934.60727566
112,9,3063.44246825
112,10,3197.93378628
113,1,3730.49144063
113,2,3882.97053254
113,3,4041.68201336
113,4,4206.88062405
113,5,4378.83151779
113,6,4557.81068557
113,7,4744.10539915
113,8,4938.01467215
113,9,5139.84974
113,10,5349.93455949
114,1,1159.79201301
114,2,1194.59814694
114,3,1230.44883621
114,4,1267.37542865
114,5,1305.41021282
114,6,1344.5864463
114,7,1384.93838475
114,8,1426.50131186
114,9,1469.3115702
114,10,1513.40659302
115,1,2421.57068392
115,2,2503.84482375
115,3,2588.91427083
115,4,2676.87399719
115,5,2767.8222016
115,6,2861.86041918
115,7,2959.09363474
115,8,3059.63040002
115,9,3163.58295488
115,10,3271.06735256
116,1,4268.28089598
116,2,4456.5121837
116,3,4653.04447563
116,4,4858.24384625
116,5,5072.49251393
116,6,5296.18955288
116,7,5529.7516365
116,8,5773.6138135
116,9,6028.23031823
116,10,6294.07541679
117,1,2404.85795459
117,2,2501.44540732
117,3,2601.91214782
117,4,2706.41398176
117,5,2815.1129725
117,6,2928.17769247
117,7,3045.7834845
117,8,3168.11273384
117,9,3295.35515095
117,10,3427.70806572
118,1,1344.51001425
118,2,1385.21622868
118,3,1427.15485928
118,4,1470.36321854
118,5,1514.87974859
118,6,1560.74405546
118,7,1607.99694425
118,8,1656.6804555
118,9,1706.83790256
118,10,1758.51391011
119,1,2360.72411277
119,2,2445.37882257
119,3,2533.06921953
119,4,2623.9041623
119,5,2717.99641314
119,6,2815.46277794
119,7,2916.42425121
119,8,3021.00616627
119,9,3129.33835083
119,10,3241.55528821
120,1,1997.6335547
120,2,2088.1945677
120,3,2182.86108696
120,4,2281.81923212
120,5,2385.26356036
120,6,2493.39744897
120,7,2606.43349517
120,8,2724.5939341
120,9,2848.11107572
120,10,2977.22776158
121,1,3019.06084643
121,2,3114.01721711
121,3,3211.96018288
121,4,3312.983679
121,5,3417.1845952
121,6,3524.6628686
121,7,3635.52157959
121,8,3749.86705067
121,9,3867.80894841
121,10,3989.46038867
122,1,2017.28256222
122,2,2094.40501072
122,3,2174.47591681
122,4,2257.60800254
122,5,2343.91829946
122,6,2433.52831332
122,7,2526.56419512
122,8,2623.15691876
122,9,2723.44246535
122,10,2827.5620147
123,1,5180.79642805
123,2,5414.69671755
123,3,5659.15703314
123,4,5914.65413416
123,5,6181.6863045
123,6,6460.77432433
123,7,6752.46248576
123,8,7057.31965438
123,9,7375.94037866
123,10,7708.94604948
124,1,1267.40155897
124,2,1325.33557069
124,3,1385.91779574
124,4,1449.26928624
124,5,1515.51662768
124,6,1584.79219188
124,7,1657.23440151
124,8,1732.98800664
124,9,1812.204374
124,10,1895.04178941
125,1,4344.85194268
125,2,4487.22091842
125,3,4634.25493812
125,4,4786.10686255
125,5,4942.93456136
125,6,5104.90107712
125,7,5272.17479489
125,8,5444.92961724
125,9,5623.34514505
125,10,5807.60686424
126,1,3757.36640999
126,2,3884.92084176
126,3,4016.80546954
126,4,4153.16729409
126,5,4294.15830652
126,6,4439.9356577
126,7,4590.66183346
126,8,4746.50483563
126,9,4907.63836936
126,10,5074.24203672
127,1,2688.05101964
127,2,2802.79995508
127,3,2922.44735342
127,4,3047.20232281
127,5,3177.28289794
127,6,3312.91642107
127,7,3454.33993935
127,8,3601.80061915
127,9,3755.55617798
127,10,3915.87533497
128,1,2750.70183875
128,2,2870.39476696
